inst_name,task_name,job_name,task_type,status,start_time,end_time,machine_id,seq_no,total_seq_no,cpu_avg,cpu_max,mem_avg,mem_max
ins_682473578,task_ODYzMjgxNTM3NDQ2NzUwMjQxMg==,j_926983,8,Terminated,689777,690196,m_3533,1,1,18,89,0.18,0.21
ins_981375562,task_ODYzMjgxNTM3NDQ2NzUwMjQxMg==,j_926983,8,Terminated,689777,690271,m_1465,1,1,17,57,0.18,0.21
ins_682473333,task_ODYzMjgxNTM3NDQ2NzUwMjQxMg==,j_926983,8,Terminated,689776,690091,m_1367,1,1,25,89,0.18,0.21
ins_824725260,task_ODYzMjgxNTM3NDQ2NzUwMjQxMg==,j_926983,8,Terminated,689777,690124,m_460,1,1,24,99,0.18,0.21
ins_892544304,task_ODYzMjgxNTM3NDQ2NzUwMjQxMg==,j_926983,8,Terminated,689777,690098,m_670,1,1,25,88,0.18,0.22
ins_845148996,task_ODYzMjgxNTM3NDQ2NzUwMjQxMg==,j_926983,8,Terminated,689776,690110,m_1059,1,1,25,94,0.18,0.22
ins_1333196115,task_ODYzMjgxNTM3NDQ2NzUwMjQxMg==,j_926983,8,Terminated,689776,690035,m_304,1,1,28,85,0.18,0.22
ins_316911681,task_ODYzMjgxNTM3NDQ2NzUwMjQxMg==,j_926983,8,Terminated,689777,690115,m_2072,1,1,26,75,0.18,0.22
ins_46490849,task_ODYzMjgxNTM3NDQ2NzUwMjQxMg==,j_926983,8,Terminated,689777,690107,m_2830,1,1,25,85,0.18,0.21
ins_682473089,task_ODYzMjgxNTM3NDQ2NzUwMjQxMg==,j_926983,8,Terminated,689776,690067,m_3175,1,1,26,75,0.18,0.21
ins_682473500,task_ODYzMjgxNTM3NDQ2NzUwMjQxMg==,j_926983,8,Terminated,689777,690149,m_1104,1,1,21,75,0.18,0.21
ins_46490538,task_ODYzMjgxNTM3NDQ2NzUwMjQxMg==,j_926983,8,Terminated,689777,690158,m_2305,1,1,20,64,0.18,0.21
ins_981375283,task_ODYzMjgxNTM3NDQ2NzUwMjQxMg==,j_926983,8,Terminated,689777,690111,m_1255,1,1,24,85,0.18,0.21
ins_824774774,task_ODYzMjgxNTM3NDQ2NzUwMjQxMg==,j_926983,8,Terminated,689778,690243,m_1230,1,1,18,59,0.18,0.21
ins_479609469,task_ODYzMjgxNTM3NDQ2NzUwMjQxMg==,j_926983,8,Terminated,689777,690192,m_697,1,1,18,82,0.18,0.21
ins_1007796843,task_ODYzMjgxNTM3NDQ2NzUwMjQxMg==,j_926983,8,Terminated,689776,690031,m_1221,1,1,28,84,0.18,0.21
ins_845148849,task_ODYzMjgxNTM3NDQ2NzUwMjQxMg==,j_926983,8,Terminated,689777,690155,m_1867,1,1,23,90,0.18,0.21
ins_926474367,task_ODYzMjgxNTM3NDQ2NzUwMjQxMg==,j_926983,8,Terminated,689777,690284,m_404,1,1,18,70,0.18,0.22
ins_824839593,task_ODYzMjgxNTM3NDQ2NzUwMjQxMg==,j_926983,8,Terminated,689777,690138,m_3245,1,1,22,70,0.18,0.21
ins_1163727228,task_ODYzMjgxNTM3NDQ2NzUwMjQxMg==,j_926983,8,Terminated,689776,690039,m_1335,1,1,29,85,0.18,0.21
ins_845148532,task_ODYzMjgxNTM3NDQ2NzUwMjQxMg==,j_926983,8,Terminated,689777,690179,m_868,1,1,21,88,0.18,0.21
ins_1333187795,task_ODYzMjgxNTM3NDQ2NzUwMjQxMg==,j_926983,8,Terminated,689776,690073,m_680,1,1,26,87,0.18,0.21
ins_763823656,task_ODYzMjgxNTM3NDQ2NzUwMjQxMg==,j_926983,8,Terminated,689776,690105,m_3953,1,1,27,86,0.18,0.21
ins_653305227,task_ODYzMjgxNTM3NDQ2NzUwMjQxMg==,j_926983,8,Terminated,689777,690099,m_3319,1,1,23,86,0.18,0.2
ins_560927945,task_ODYzMjgxNTM3NDQ2NzUwMjQxMg==,j_926983,8,Terminated,689777,690147,m_897,1,1,24,86,0.18,0.21
ins_1007796993,task_ODYzMjgxNTM3NDQ2NzUwMjQxMg==,j_926983,8,Terminated,689776,690043,m_1882,1,1,27,86,0.18,0.21
ins_981375122,task_ODYzMjgxNTM3NDQ2NzUwMjQxMg==,j_926983,8,Terminated,689777,690192,m_1667,1,1,19,83,0.18,0.21
ins_1007796674,task_ODYzMjgxNTM3NDQ2NzUwMjQxMg==,j_926983,8,Terminated,689777,690118,m_1195,1,1,25,85,0.18,0.21
ins_653304450,task_ODYzMjgxNTM3NDQ2NzUwMjQxMg==,j_926983,8,Terminated,689776,690036,m_2663,1,1,28,99,0.18,0.22
ins_235648254,task_ODYzMjgxNTM3NDQ2NzUwMjQxMg==,j_926983,8,Terminated,689777,690105,m_154,1,1,25,83,0.18,0.21
ins_824749857,task_ODYzMjgxNTM3NDQ2NzUwMjQxMg==,j_926983,8,Terminated,689777,690097,m_2114,1,1,27,82,0.18,0.21
ins_316912074,task_ODYzMjgxNTM3NDQ2NzUwMjQxMg==,j_926983,8,Terminated,689776,690039,m_1249,1,1,28,77,0.18,0.21
ins_235648629,task_ODYzMjgxNTM3NDQ2NzUwMjQxMg==,j_926983,8,Terminated,689777,690174,m_1337,1,1,19,70,0.18,0.21
ins_126426271,task_ODYzMjgxNTM3NDQ2NzUwMjQxMg==,j_926983,8,Terminated,689776,690047,m_2091,1,1,28,80,0.18,0.21
ins_763815445,task_ODYzMjgxNTM3NDQ2NzUwMjQxMg==,j_926983,8,Terminated,689776,690065,m_99,1,1,27,80,0.18,0.21
ins_46490247,task_ODYzMjgxNTM3NDQ2NzUwMjQxMg==,j_926983,8,Terminated,689776,690085,m_1419,1,1,26,89,0.18,0.22
ins_653304984,task_ODYzMjgxNTM3NDQ2NzUwMjQxMg==,j_926983,8,Terminated,689777,690178,m_1061,1,1,21,70,0.18,0.21
ins_1334934802,task_ODYzMjgxNTM3NDQ2NzUwMjQxMg==,j_926983,8,Terminated,689777,690159,m_3395,1,1,23,81,0.18,0.21
